Text,Label,Cluster,Predicted Sentiment,Real Sentiment
cant sleep havent finish homework,2,Cluster 2,Neutral,Neutral
see itlooks retro wouldnt say rerecordingsfans loved given one change cs fans,2,Cluster 2,Neutral,Neutral
good morning,2,Cluster 2,Neutral,Positive
sadfound otu boot camp late oh well may la day anyway,2,Cluster 2,Neutral,Neutral
good lets go get done wwwhennesseyblackcom,2,Cluster 2,Neutral,Neutral
today im sad cat years stopped eating sick,2,Cluster 2,Neutral,Negative
spent week whole pay shopping oh well im happy,2,Cluster 2,Neutral,Positive
latest season doesnt air indian tv channels kinda download episodes view online,2,Cluster 2,Neutral,Neutral
know ur dog getting old sits eatpoor hilly please dont grow,2,Cluster 2,Neutral,Neutral
iusedtobescaredof girls year school,2,Cluster 2,Neutral,Neutral
whove u noticed kate,2,Cluster 2,Neutral,Neutral
little bit upset ppl jerk,2,Cluster 2,Neutral,Negative
wonderful get meet though,2,Cluster 2,Neutral,Positive
aww lost followers follow,2,Cluster 2,Neutral,Neutral
e im going dance class,2,Cluster 2,Neutral,Neutral
yes thats problem prism fail,2,Cluster 2,Neutral,Negative
im friends anyone anymore,2,Cluster 2,Neutral,Positive
forgot live jonas brothers facebook,2,Cluster 2,Neutral,Neutral
back office fire alarm went due someone burnt food microwave,2,Cluster 2,Neutral,Neutral
little bottle jus httpmypictmeflc,2,Cluster 2,Neutral,Neutral
dreaming thinking garden,2,Cluster 2,Neutral,Neutral
alright really wish guys couldve done show tennessee cant go one shows,2,Cluster 2,Neutral,Neutral
yeah poor yao hope u fun looking lakers jerseyz haha enjoy ur time buddy,2,Cluster 2,Neutral,Positive
smh playing dress lol cant see vid though working,2,Cluster 2,Neutral,Positive
hmm idk song,2,Cluster 2,Neutral,Neutral
doesnt know pimp twitter page,2,Cluster 2,Neutral,Neutral
boy dont try front ii know justjust areareare,2,Cluster 2,Neutral,Neutral
good evening enjoying vacation eventhough boring pray david cooks brother rip,2,Cluster 2,Neutral,Positive
ahhhhh well least im,2,Cluster 2,Neutral,Neutral
sociology done english biology left im going die,2,Cluster 2,Neutral,Neutral
way work cant bothered,2,Cluster 2,Neutral,Neutral
got right bad headache,2,Cluster 2,Neutral,Negative
anthem right dont leave high dry httpblipfmfcr,2,Cluster 2,Neutral,Neutral
aww thank honey didja get mommy daddy,2,Cluster 2,Neutral,Neutral
certain show talking letter g camera cafe misog think answers question,2,Cluster 2,Neutral,Neutral
stressed hell still surviving,2,Cluster 2,Neutral,Negative
went friends house watch good old season episodes supernatural love show soo much,2,Cluster 2,Neutral,Positive
hey guys wanted announce marathon lets sayget ready couple episodes,2,Cluster 2,Neutral,Neutral
love magix cool great rhythm,2,Cluster 2,Neutral,Positive
hate watching news awful things happen,2,Cluster 2,Neutral,Negative
homeee feet sore,2,Cluster 2,Neutral,Negative
clownin since got flooded htown april got repaired thought,2,Cluster 2,Neutral,Neutral
exams yuck hectic,2,Cluster 2,Neutral,Neutral
get grill taken care morning quick shot hands dont ask,2,Cluster 2,Neutral,Neutral
cousins confirmation confirmation party,2,Cluster 2,Neutral,Neutral
hours sunrash,2,Cluster 2,Neutral,Neutral
get see hopefully meet guys next week rotr wait adelitas way invincible httpblipfmynxr,2,Cluster 2,Neutral,Neutral
ugh head headaches stop anyways love life right couldnt ask anything love happy,2,Cluster 2,Neutral,Positive
talking nat,2,Cluster 2,Neutral,Neutral
dear god hope save httpwwwtheimpossibleprojectcom,2,Cluster 2,Neutral,Positive
enjoying weekend kids,2,Cluster 2,Neutral,Positive
certainly,2,Cluster 2,Neutral,Positive
im guessing belt thing nogo since didnt hear backsorry stop weekend well talk bout ring etc,2,Cluster 2,Neutral,Neutral
wish laying sand listening waves crash shore,2,Cluster 2,Neutral,Positive
poor ds bed fever wont able walk relay life tonight feel bad hes sad,2,Cluster 2,Neutral,Neutral
wellgotta grab least hour half sleep girls get schoolgawd life multitaskin nightmornin,2,Cluster 2,Neutral,Neutral
errbody please check httpmscaseycarterblogspotcom id appreciate bunch,2,Cluster 2,Neutral,Neutral
njoying sunday plce learning abt joomla,2,Cluster 2,Neutral,Neutral
cvs like genetic brandpoor youmy hubby gets bad allergiesno fun,2,Cluster 2,Neutral,Positive
following week would better ill gone next week,2,Cluster 2,Neutral,Neutral
stomach bleh,2,Cluster 2,Neutral,Neutral
looking old pictures love miss good ol days,2,Cluster 2,Neutral,Positive
letting anyone get tired taking peoples pain time happy person without drama om,2,Cluster 2,Neutral,Neutral
yooooooo mates,2,Cluster 2,Neutral,Neutral
nk wouldnt call cool dangerous reckon fits stupid category,2,Cluster 2,Neutral,Positive
sowoke time workboo,2,Cluster 2,Neutral,Neutral
trying resco mobileforms toolkit sample trial messages ruin everything sample bugs running slow poor st impression,2,Cluster 2,Neutral,Neutral
im hang fone getting hot,2,Cluster 2,Neutral,Neutral
oh usual warn new followers tend overtweet canucks games apologies advance,2,Cluster 2,Neutral,Neutral
oh good cake,2,Cluster 2,Neutral,Positive
good stuff cant wait results,2,Cluster 2,Neutral,Neutral
loved ones leaving sunday sad,2,Cluster 2,Neutral,Positive
feel sick much cheese toast,2,Cluster 2,Neutral,Neutral
love much make smile time special cant u get scared try,2,Cluster 2,Neutral,Positive
thnks followin,2,Cluster 2,Neutral,Neutral
listing sad song sad,2,Cluster 2,Neutral,Negative
heart girls lets hang soon,2,Cluster 2,Neutral,Neutral
hahaha nonsense,2,Cluster 2,Neutral,Positive
ugh internet,2,Cluster 2,Neutral,Negative
need new iphone case broke,2,Cluster 2,Neutral,Neutral
actually according retweets least,2,Cluster 2,Neutral,Neutral
aww know used chat became cool,2,Cluster 2,Neutral,Neutral
hawt hows fitness regime coming along hehehehe,2,Cluster 2,Neutral,Neutral
got woken mom entire first floor flooded furniture curtains moms expensive rugs soaked ruined,2,Cluster 2,Neutral,Neutral
feel really sick teeth still hurt fml,2,Cluster 2,Neutral,Negative
eye still hurts think ill go sleep,2,Cluster 2,Neutral,Negative
listening heart aka took carlys lastfm need hours looooong day tomorrow,2,Cluster 2,Neutral,Neutral
whats wrong,2,Cluster 2,Neutral,Negative
always bit smug whistleblower denial stuff pretty spectacular,2,Cluster 2,Neutral,Neutral
belay swimsuit hot tub wont ready weekend sadness,2,Cluster 2,Neutral,Neutral
think killed mo old bromeliad need new pet plant,2,Cluster 2,Neutral,Neutral
im sorry drace sucks bad,2,Cluster 2,Neutral,Negative
waiting food,2,Cluster 2,Neutral,Neutral
also brain tumor called jeffery,2,Cluster 2,Neutral,Neutral
bbqs gone well weather stayed good right bonus bed training morning work,2,Cluster 2,Neutral,Neutral
ideal bank holiday conditions little cast rainy perfect lazy day dvd,2,Cluster 2,Neutral,Positive
stiller sure boot,2,Cluster 2,Neutral,Positive
wants sign germany field trip pero tengo dinero,2,Cluster 2,Neutral,Neutral
dont remind supposed meet homie show ack kill pleasedo thang,2,Cluster 2,Neutral,Neutral
bad times,2,Cluster 2,Neutral,Negative
cheifs beat canes top table wooo go sky sport virtual rugby points,2,Cluster 2,Neutral,Neutral
wasnt invited yall get togethers either playin security told us quiet,2,Cluster 2,Neutral,Neutral
kel ehh carnt stand hot weather,2,Cluster 2,Neutral,Neutral
artery tomorrow hagen daz,2,Cluster 2,Neutral,Neutral
drink marc izzy sleepin woot woot,2,Cluster 2,Neutral,Positive
stop trying reach,2,Cluster 2,Neutral,Negative
dog lucky drizzling mommy says puddles big enough swim dog park today,2,Cluster 2,Neutral,Neutral
really crying shame,2,Cluster 2,Neutral,Negative
alives less highness feeling sometimes hate feelings talking exhusband hes dead funny,2,Cluster 2,Neutral,Positive
murphys law sorry computer cooperating lots work kids httptinyurlcomkmx,2,Cluster 2,Neutral,Neutral
stomach cramps sat bed hot water bottle hot milk toast feel like wi girl minus stomach cramps,2,Cluster 2,Neutral,Neutral
crawling den night,2,Cluster 2,Neutral,Neutral
going third,2,Cluster 2,Neutral,Neutral
cold cloudy million loads washing,2,Cluster 2,Neutral,Neutral
wonder thumbnail pictures arent showing tweetdeck,2,Cluster 2,Neutral,Neutral
cant sleep tired goodnight maybe,2,Cluster 2,Neutral,Neutral
mac believe wont regret,2,Cluster 2,Neutral,Neutral
sneezing frequently,2,Cluster 2,Neutral,Neutral
people skills,2,Cluster 2,Neutral,Neutral
maatt havent spoken ages dudeee dont forget bout ur aussie fan lool love ya,2,Cluster 2,Neutral,Neutral
suffering hayfever drowsy much piriton heading bed air purifier,2,Cluster 2,Neutral,Neutral
new york dolls tomorrow night depot cancelled refunds available point purchase,2,Cluster 2,Neutral,Neutral
wow easy thank,2,Cluster 2,Neutral,Positive
tell ill beat doesnt share,2,Cluster 2,Neutral,Negative
work til,2,Cluster 2,Neutral,Neutral
yeah physically moving apparently well reporting directly mr hayward,2,Cluster 2,Neutral,Neutral
going days still new tattoo,2,Cluster 2,Neutral,Neutral
heyy,2,Cluster 2,Neutral,Neutral
getting back swingstill sore surgery tiredcoffee time,2,Cluster 2,Neutral,Neutral
hope migraine doesnt stick around long,2,Cluster 2,Neutral,Neutral
finally plugged listen flashpoints httpwwwkpfaorg shoutout missed segment chevron,2,Cluster 2,Neutral,Neutral
cunning got ta go cousins grad party,2,Cluster 2,Neutral,Neutral
good morning get ready go hospital get cat scan best wishes,2,Cluster 2,Neutral,Positive
time mimis,2,Cluster 2,Neutral,Neutral
going work,2,Cluster 2,Neutral,Neutral
uff hard get going today half night year old son,2,Cluster 2,Neutral,Neutral
also lonely night wishing could go auduns doesnt bad dream,2,Cluster 2,Neutral,Positive
weekend started healthy lifeestyle diet lets see goes keep ya posted progress,2,Cluster 2,Neutral,Neutral
ohh tell bout couldnt stop munching stock running low buying today,2,Cluster 2,Neutral,Neutral
sent twitterville apple review screenshots etc released later week,2,Cluster 2,Neutral,Neutral
foooood yummy whose washing dishes rofl,2,Cluster 2,Neutral,Positive
quickest way get seat london bus currently pretend sneeze loudly times,2,Cluster 2,Neutral,Neutral
delicious sushi niko niko vermont hollywood mm,2,Cluster 2,Neutral,Neutral
morning twitts heading home great sleep w bf tennille,2,Cluster 2,Neutral,Neutral
done jack green today good killer walking west hill though listening people,2,Cluster 2,Neutral,Neutral
thx suggestion dont think itll easy convince cold calling isnt aweful tho,2,Cluster 2,Neutral,Neutral
thanks twitpic sure made laugh,2,Cluster 2,Neutral,Positive
morning office,2,Cluster 2,Neutral,Neutral
saw snl diplomacongrats must overjoyed finally going bednite,2,Cluster 2,Neutral,Neutral
sigh im going bed dont feel right anymore,2,Cluster 2,Neutral,Neutral
darn one slipped right fingers,2,Cluster 2,Neutral,Neutral
bizzle checkin right,2,Cluster 2,Neutral,Neutral
apparently misplaced ipod gb,2,Cluster 2,Neutral,Neutral
looking forward android pushed g,2,Cluster 2,Neutral,Neutral
rp rp rp crackheres mine threw mouth lil bitits legs lol,2,Cluster 2,Neutral,Neutral
way get crate bella dolce sad cuz going tto richmond,2,Cluster 2,Neutral,Neutral
ciara great snlkimyou mentioned snl tonightjustin really good also,2,Cluster 2,Neutral,Positive
lol charliei miss charlie,2,Cluster 2,Neutral,Positive
girlfriend,2,Cluster 2,Neutral,Neutral
making list sic attendances,2,Cluster 2,Neutral,Neutral
brooklyn went hard back top st hajjisyea httptinyurlcomcodla httpti httptinyurlcomcrhjs,2,Cluster 2,Neutral,Neutral
got tired kitchen uninhabital swept mopped floor dry ill work tops,2,Cluster 2,Neutral,Positive
nope cant figure get updates blackberry need go running,2,Cluster 2,Neutral,Neutral
doubt boo always leave behind awesome roadtrips,2,Cluster 2,Neutral,Positive
omg get coupon time im obsessed catalog comes mail,2,Cluster 2,Neutral,Neutral
sinking feeling go upbracing comedown,2,Cluster 2,Neutral,Positive
hate waking early need make hrs pharmacy class sighhh news breakfast time,2,Cluster 2,Neutral,Neutral
make nice cup tea pop benadryllong daystay positive twitterbugsgoodnight,2,Cluster 2,Neutral,Neutral
one loves brittany forgot flowers,2,Cluster 2,Neutral,Neutral
congrats knew princess would win sigjeans,2,Cluster 2,Neutral,Positive
decleration yet crazy koreans arent playing nice anymore u thinks next im thinking war,2,Cluster 2,Neutral,Negative
wishing happy monday wonderful start week make good one,2,Cluster 2,Neutral,Positive
still asleep ahhh wtf,2,Cluster 2,Neutral,Negative
ohhhhh barcalona please dont ruin bgt,2,Cluster 2,Neutral,Positive
say poems ready write nothing else matters well known song tells us,2,Cluster 2,Neutral,Neutral
aw one fishies died,2,Cluster 2,Neutral,Negative
found cant drink bar booo missing e palominos cheers sad face,2,Cluster 2,Neutral,Positive
boston needs one,2,Cluster 2,Neutral,Neutral
hate interviews im going horrible today,2,Cluster 2,Neutral,Negative
im crying poor thing,2,Cluster 2,Neutral,Negative
photo like da cooolooorss composition great scribkin httptumblrcomxybqwcb,2,Cluster 2,Neutral,Positive
st period hate class cant wait im home ill b happiest person world wen im home,2,Cluster 2,Neutral,Neutral
classic jt saturday evening httpbitlylrzjr,2,Cluster 2,Neutral,Neutral
guess get dressed pretty,2,Cluster 2,Neutral,Positive
sweetest loveliest thing say made smile thank,2,Cluster 2,Neutral,Neutral
going start using fast access mtwittercom school,2,Cluster 2,Neutral,Neutral
exactly like glasgow bgt busier,2,Cluster 2,Neutral,Neutral
brads ive finished lol,2,Cluster 2,Neutral,Neutral
zombies make great huggers bc dont lower arms move fast via,2,Cluster 2,Neutral,Positive
anything good country,2,Cluster 2,Neutral,Positive
good deal im good thank u one loving mom,2,Cluster 2,Neutral,Positive
fun blatantly ignore advice,2,Cluster 2,Neutral,Positive
im taking life guarding classes fri pm sat pm sun pm mon pm live eat breath life guard stuff yay,2,Cluster 2,Neutral,Neutral
im going pig ice cream potato chips,2,Cluster 2,Neutral,Neutral
wish thereive moved san diego wa im depressed miss sunny san diegoooooooo,2,Cluster 2,Neutral,Positive
im listening butterfly fly away daddy lov u mamma lov ya,2,Cluster 2,Neutral,Neutral
lmao know pleaseeee reply got replies yet l x,2,Cluster 2,Neutral,Neutral
blowout ended,2,Cluster 2,Neutral,Neutral
lovely weekend thank whats like live exciting im sure night night,2,Cluster 2,Neutral,Positive
yes minutes,2,Cluster 2,Neutral,Positive
goin good takin easy ths weekend im preparing big events comin u girls inspire great things,2,Cluster 2,Neutral,Positive
thanks funny cause true,2,Cluster 2,Neutral,Positive
mm goodnight going play rock band til time watch snl justin timberlake,2,Cluster 2,Neutral,Neutral
late jump plane richmond va go conditions concert think thats yes boo life ohio,2,Cluster 2,Neutral,Neutral
israd yeah im tired headache play game rygby ill right,2,Cluster 2,Neutral,Positive
lol toowerdphubbys fave driver martin happy,2,Cluster 2,Neutral,Positive
im feelin sad depressed lonely unhappy rwhats wrong,2,Cluster 2,Neutral,Negative
peep remix wu dynasty remix tape delayed give u idea,2,Cluster 2,Neutral,Neutral
tucking tonight mogwai repeat,2,Cluster 2,Neutral,Neutral
ok th tweet ill use simply say thank ive met givingcaring people twitter,2,Cluster 2,Neutral,Neutral
lucien kerk one church vocalists,2,Cluster 2,Neutral,Neutral
watching la rosa de guadalupe damm episode true people make fun people virgins,2,Cluster 2,Neutral,Neutral
hate bringing ipod school,2,Cluster 2,Neutral,Negative
fab new pic way,2,Cluster 2,Neutral,Neutral
lol girl video disturbed love hk theme cute,2,Cluster 2,Neutral,Positive
times changing,2,Cluster 2,Neutral,Neutral
bed two days migraines,2,Cluster 2,Neutral,Neutral
scared mouse figure youre scared maybe deal fear,2,Cluster 2,Neutral,Negative
hey need book go amy sedaris finishing say,2,Cluster 2,Neutral,Neutral
im work ugghhhhh someone save,2,Cluster 2,Neutral,Neutral
poor greg stupid uk always sympathy vote xo,2,Cluster 2,Neutral,Positive
fries arizona thats thing ate today feeeeeed meeeeee,2,Cluster 2,Neutral,Neutral
copyed chicks reply wrote,2,Cluster 2,Neutral,Neutral
around little earlier wanted phone rang exercise good way start day right,2,Cluster 2,Neutral,Neutral
hey pleasant surprise,2,Cluster 2,Neutral,Positive
right must sewing bye x,2,Cluster 2,Neutral,Neutral
somebody calls answer quite slowly girl kaleidoscope eyes yeah im normal,2,Cluster 2,Neutral,Neutral
please let get obsessed whatever whoever charge actions youve bad job lately,2,Cluster 2,Neutral,Neutral
oh yeah see really gets going lol doesnt care doesnt like heheheheh great,2,Cluster 2,Neutral,Positive
know im rogers im pretty sure dont agreement twitter,2,Cluster 2,Neutral,Positive
got dreaded call babysitter little h bumped head sitter says shes fine goose egg going fast,2,Cluster 2,Neutral,Neutral
heyy finally got one oh good luck finals today,2,Cluster 2,Neutral,Neutral
rabbit begining think showing signs becoming sped haha love ya,2,Cluster 2,Neutral,Neutral
yes koi years babies well biggest ones almost ft long names,2,Cluster 2,Neutral,Neutral
whats head whats head next whats head later yeahthats pretty much,2,Cluster 2,Neutral,Neutral
httptwitpiccomzemt aww cute smile,2,Cluster 2,Neutral,Positive
watching broncos vs chiefs montana vs elway nfl network still nightmares game fu kc,2,Cluster 2,Neutral,Neutral
going without skype haha,2,Cluster 2,Neutral,Neutral
gable good holiday chalet sight look v similar ones going home today,2,Cluster 2,Neutral,Neutral
ionoi guess im getting lr twits,2,Cluster 2,Neutral,Neutral
hey girl sent ya message myspace,2,Cluster 2,Neutral,Neutral
im sure shell love em work x,2,Cluster 2,Neutral,Positive
morning romina,2,Cluster 2,Neutral,Neutral
going bed beating snot hubby w texas hold em,2,Cluster 2,Neutral,Neutral
foster still working,2,Cluster 2,Neutral,Neutral
yeaaaah lol im insane,2,Cluster 2,Neutral,Positive
cant find jewellry dressssss,2,Cluster 2,Neutral,Neutral
day dreaming fuzzball snl httpfuzzballcomtwitter,2,Cluster 2,Neutral,Neutral
im trying dang hardest watch movie finish book,2,Cluster 2,Neutral,Neutral
awww mate thats shitter,2,Cluster 2,Neutral,Neutral
nt able follow anyone friendorfollowcom come itsucks,2,Cluster 2,Neutral,Neutral
hugs hubby ill probably place come st september,2,Cluster 2,Neutral,Neutral
casagrande haha thanks keeps raining might go,2,Cluster 2,Neutral,Positive
hahaha ok hire mom paiseh haha shall washing,2,Cluster 2,Neutral,Positive
nice must see,2,Cluster 2,Neutral,Positive
sucks woot misha,2,Cluster 2,Neutral,Positive
check song time lose wwwmyspacecomflownyce youll enjoy promise,2,Cluster 2,Neutral,Positive
httpbitlynyhmz dionusia made,2,Cluster 2,Neutral,Neutral
magazine thats dream thats reality cs wishlist,2,Cluster 2,Neutral,Neutral
dinner done shower done time chill block chocolate,2,Cluster 2,Neutral,Neutral
victory bulldogs celebrated white chocolate cheesecakes nom nom nom whatta fattyyy,2,Cluster 2,Neutral,Neutral
back work extremely slow start ups,2,Cluster 2,Neutral,Neutral
miss boys,2,Cluster 2,Neutral,Negative
playing dj rays ride way delish sushi,2,Cluster 2,Neutral,Neutral
bring yself go heroism badges achievement,2,Cluster 2,Neutral,Neutral
missing sunshine trying stay awake hours sleep,2,Cluster 2,Neutral,Positive
learn fly higher httptinyurlcomtools,2,Cluster 2,Neutral,Neutral
guess ill take nap,2,Cluster 2,Neutral,Neutral
yeah definitely pillow fight,2,Cluster 2,Neutral,Positive
goodbey pressents httpmobypicturecomuqih,2,Cluster 2,Neutral,Neutral
friend,2,Cluster 2,Neutral,Positive
thanks enjoy dinner tomorrow,2,Cluster 2,Neutral,Positive
charlie brown today time,2,Cluster 2,Neutral,Neutral
double rainbow organs pretty doesnt take edge grocery tab,2,Cluster 2,Neutral,Neutral
keep long people ffwd like aac w chapter markers,2,Cluster 2,Neutral,Neutral
work close,2,Cluster 2,Neutral,Neutral
waiting friend come hang,2,Cluster 2,Neutral,Positive
chevre please follow chevre im using public tweeting thanks,2,Cluster 2,Neutral,Neutral
mooooooooornin legs ok,2,Cluster 2,Neutral,Positive
mama youre best thing ever happen thanks everything sorry hurting love,2,Cluster 2,Neutral,Positive
thanks agreeing,2,Cluster 2,Neutral,Positive
thundershowers plus baseball equals awwww,2,Cluster 2,Neutral,Neutral
get message account suspended far know havent violated terms contacting twitter,2,Cluster 2,Neutral,Neutral
todays aba full emotional tears asd autism days harder others hard intervene poor baby,2,Cluster 2,Neutral,Neutral
wear jacket today cos didnt notice mark shirt,2,Cluster 2,Neutral,Neutral
omg finish,2,Cluster 2,Neutral,Neutral
mind telling book cuz barnes nobles today found books looked promising,2,Cluster 2,Neutral,Neutral
called answer shall try tomorrow,2,Cluster 2,Neutral,Neutral
dare apologize uk gone dont apologize america never touring,2,Cluster 2,Neutral,Neutral
im sad right becuz lady,2,Cluster 2,Neutral,Neutral
go refused feel pain,2,Cluster 2,Neutral,Negative
pretty hammered drunk props two nights row,2,Cluster 2,Neutral,Positive
drunk love u guys,2,Cluster 2,Neutral,Positive
thanks follow back,2,Cluster 2,Neutral,Positive
cheeseburger,2,Cluster 2,Neutral,Neutral
awww,2,Cluster 2,Neutral,Neutral
soo tired couldnt get enough sleep,2,Cluster 2,Neutral,Neutral
everyone must watch thisits snowball dancing bird make dayi promise httptinyurlcomwtf,2,Cluster 2,Neutral,Neutral
sorry hear,2,Cluster 2,Neutral,Negative
wellnot spurs,2,Cluster 2,Neutral,Neutral
leave meet im looking forward seeing im done wanted boourns wish work,2,Cluster 2,Neutral,Neutral
blastinggg music,2,Cluster 2,Neutral,Neutral
dont think either cant remember,2,Cluster 2,Neutral,Neutral
hey know trailers hannah montana jonas brothers concert experience trailer x,2,Cluster 2,Neutral,Neutral
back yoga retreat recommend everyone,2,Cluster 2,Neutral,Positive
oh mint lounge awesome night,2,Cluster 2,Neutral,Positive
okay one ears popped know everything sounds like everything reall loud,2,Cluster 2,Neutral,Neutral
thank saw comment chew aerobics really tickled,2,Cluster 2,Neutral,Neutral
wa cool looking forward,2,Cluster 2,Neutral,Neutral
tried edit page couldnt add name pop list please,2,Cluster 2,Neutral,Neutral
sorry reach either url,2,Cluster 2,Neutral,Positive
sorry hear terrible news thinking x,2,Cluster 2,Neutral,Negative
oh wish dear michael wish,2,Cluster 2,Neutral,Positive
hes totally ignoring sad heartbroken,2,Cluster 2,Neutral,Negative
would like macaroni cheese pleaseno,2,Cluster 2,Neutral,Neutral
kewl jb chat awesome miss lots though cause go skewl,2,Cluster 2,Neutral,Positive
gasp love thank much sharing tim,2,Cluster 2,Neutral,Positive
back heads httpyfrogcomzywwj,2,Cluster 2,Neutral,Neutral
work im ina good mood,2,Cluster 2,Neutral,Neutral
tryna get sing mic n said noooooooo,2,Cluster 2,Neutral,Neutral
sad httpbitlybjth love kelly,2,Cluster 2,Neutral,Positive
congrats invisalign need get refitted mine got lazy stopped wearing,2,Cluster 2,Neutral,Positive
watched prison break special sad ending,2,Cluster 2,Neutral,Negative
eleni love,2,Cluster 2,Neutral,Positive
read angels demons think oh beautiful sunny weather provence,2,Cluster 2,Neutral,Neutral
sent one abrams surrounded weather,2,Cluster 2,Neutral,Neutral
hate,2,Cluster 2,Neutral,Negative
good morning fella joy work today plans,2,Cluster 2,Neutral,Positive
uh could come visit austin make gigantic moving decision closer st louis portland,2,Cluster 2,Neutral,Neutral
yup slowly recovering sucks cant eat stuff im craving right gums cant take trip,2,Cluster 2,Neutral,Neutral
tried registering website go get error browsers firefox chrome ie safari,2,Cluster 2,Neutral,Neutral
oh wow youre fast hows life going months ya xd,2,Cluster 2,Neutral,Neutral
today tomorrow taipei anyone free drink httpplurkcomprpgyy,2,Cluster 2,Neutral,Neutral
feels like dork using wrong ping group,2,Cluster 2,Neutral,Positive
wishing babe wed ball,2,Cluster 2,Neutral,Neutral
part neuroanatomy takehome test im httptinyurlcomdey,2,Cluster 2,Neutral,Neutral
little thing links us england,2,Cluster 2,Neutral,Neutral
work ded tonite tho eeeeeee,2,Cluster 2,Neutral,Neutral
thanks rt hoping classy followers,2,Cluster 2,Neutral,Positive
oh duhi see thank,2,Cluster 2,Neutral,Neutral
using old phone gosh miss phone,2,Cluster 2,Neutral,Neutral
isnt local dish borrow,2,Cluster 2,Neutral,Neutral
yet ate couple love reeces hard get nz stock bigtime states,2,Cluster 2,Neutral,Neutral
think im pays attention type thing bout hit bush pretend purple,2,Cluster 2,Neutral,Neutral
one million,2,Cluster 2,Neutral,Neutral
come guys brazil well love happened,2,Cluster 2,Neutral,Positive
wild oats pinot grigio v easy drink,2,Cluster 2,Neutral,Neutral
desperatly hoping dad takes vanessas game,2,Cluster 2,Neutral,Neutral
getting ready goingaway dessert reception colleague whos grad school,2,Cluster 2,Neutral,Neutral
love hot policemen come work,2,Cluster 2,Neutral,Positive
hugs im sorry anything,2,Cluster 2,Neutral,Positive
ive already done washing spring step morning,2,Cluster 2,Neutral,Neutral
pappadeux yummy strawberry lemonade,2,Cluster 2,Neutral,Positive
oh thats good pierced bottom lip right sidemyself th grade piercings dress code,2,Cluster 2,Neutral,Neutral
probably best birthday ive ever got spend favorite people,2,Cluster 2,Neutral,Positive
trains turned microwave,2,Cluster 2,Neutral,Neutral
hasa lemon cake oven going make pork casserole domestic,2,Cluster 2,Neutral,Neutral
straightening hair,2,Cluster 2,Neutral,Neutral
kudai pop rock band chile last one taking stage tonight,2,Cluster 2,Neutral,Neutral
working till playing miley cyrus company radio adele,2,Cluster 2,Neutral,Neutral
going watch tv crazy night work tomorrow ill live somehow least means finish early,2,Cluster 2,Neutral,Neutral
dont think ever laughed hard,2,Cluster 2,Neutral,Negative
hell raining hate rain,2,Cluster 2,Neutral,Negative
took kindof nap tummy hurts,2,Cluster 2,Neutral,Neutral
wow broke toe today stupid piece concrete lame job searching sight seeing brittany,2,Cluster 2,Neutral,Positive
yea roadwarrior workaholic lifestyle,2,Cluster 2,Neutral,Neutral
im sorry hear bad news send happy thoughts way find new job soon,2,Cluster 2,Neutral,Neutral
cant wait till ur may show u better stop hang newcastle,2,Cluster 2,Neutral,Neutral
molly born birthday cue twilight zone music,2,Cluster 2,Neutral,Neutral
bon voyage birthday brother mccarran cyah vegas july havent slept yet class fun weekend,2,Cluster 2,Neutral,Neutral
feel way guess matter always memes,2,Cluster 2,Neutral,Neutral
hello twitter,2,Cluster 2,Neutral,Neutral
busy talking mom bhabhi liked cards bro made waiting sis get back church,2,Cluster 2,Neutral,Neutral
walking dog horseforth park hangover sunday morning yay,2,Cluster 2,Neutral,Neutral
endless set list long grueling almost also sent gordos cell cuz hes longer communicating internet,2,Cluster 2,Neutral,Neutral
didnt wake early enough go roller blading contrary tributary flow endlessly,2,Cluster 2,Neutral,Neutral
oh ok guess next time,2,Cluster 2,Neutral,Neutral
hi lady sorry delayed response appreciate luvwill month hows everything going,2,Cluster 2,Neutral,Neutral
girl big hair rock today black velvet baby httpblipfmzg,2,Cluster 2,Neutral,Neutral
anticipation making cup tea im agreeing must happen awesome,2,Cluster 2,Neutral,Positive
omg man ill pray ya,2,Cluster 2,Neutral,Positive
today nice positive fun day several weeks bum days,2,Cluster 2,Neutral,Positive
meow week ago today road trippin,2,Cluster 2,Neutral,Neutral
hey ruthie girl u send lovely twitts never respond im hurt hows mikey dion,2,Cluster 2,Neutral,Neutral
well thank importantly,2,Cluster 2,Neutral,Positive
feeling sick,2,Cluster 2,Neutral,Negative
httptwitpiccomsbz thats actually adorable ooh miss dude,2,Cluster 2,Neutral,Neutral
geek minds think alike,2,Cluster 2,Neutral,Neutral
lost favorite thing loves always story year key chain,2,Cluster 2,Neutral,Positive
weird usual ok thats like,2,Cluster 2,Neutral,Positive
elaines online mommy gives good advice,2,Cluster 2,Neutral,Neutral
goin dinner,2,Cluster 2,Neutral,Neutral
lol good luck love vid ybwm,2,Cluster 2,Neutral,Positive
thank u,2,Cluster 2,Neutral,Positive
haha good dreams haha best friends forever haha sweet presh bailey zdbp,2,Cluster 2,Neutral,Positive
way,2,Cluster 2,Neutral,Neutral
started feeling bad ugh hate dont feel good,2,Cluster 2,Neutral,Negative
lol spongebob,2,Cluster 2,Neutral,Positive
ahh dang course better email back fast,2,Cluster 2,Neutral,Neutral
good morning httpblipfmjnl,2,Cluster 2,Neutral,Positive
